trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.9, 'e': 0.38060240696771647}",20,0,-14.391863549506034,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.9, 'e': 0.37794749315816506}",30,0,-43.83999521850566,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
140,False,"{'a': 0.9, 'e': 0.37531109885139957}",20,0,0.6702534355890828,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.9, 'e': 0.3726930948635714}",20,8,0.4216732255834956,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.9, 'e': 0.37009335291196127}",20,10,-4.9848041808859795,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.3675117456086935}",20,3,-13.284509130696337,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.36494814645449375}",20,10,-50.924996417950986,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
145,False,"{'a': 0.9, 'e': 0.36240242983249027}",30,19,-2.2655440123097366,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.35987447100205955}",35,18,-76.48440762197771,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
147,False,"{'a': 0.9, 'e': 0.3573641460927129}",25,0,-68.44363587013179,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
148,False,"{'a': 0.9, 'e': 0.3548713320980274}",20,9,-1.650806610061707,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.35239590686961875}",25,0,-0.7016866886377973,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.3499377491111553}",20,9,0.5796079274410189,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.34749673837241524}",30,0,17.89816099777253,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
152,False,"{'a': 0.9, 'e': 0.34507275504338375}",25,12,3.131222607887217,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.3426656803483929}",25,2,-55.23520184205395,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
154,False,"{'a': 0.9, 'e': 0.3402753963403008}",25,4,-5.973622085372768,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.9, 'e': 0.33790178589471304}",20,9,8.53050363675304,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.3355447327042427}",20,0,-55.76602124945524,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
157,False,"{'a': 0.9, 'e': 0.33320412127281185}",20,8,7.758251414702186,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.33087983690999206}",25,0,19.633954502944363,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
